URL,Verdict,Title,Series,Primary Category,All Categories,Year,Published Date,Word Count,Image Count,Images Missing Alt,Internal Links,External Links,Yoast SEO Title,Yoast SEO Title Length,Yoast Meta Description,Meta Description Length,SEO Score (0-100),SEO Action Items,Reason / Notes
https://seatofthesoul.com/honoring-maya-angelou-2,DROP,Honoring Maya Angelou,Other,Blog,Blog; Exclude,2024,2024-05-23,597,1,1,8,0,Honoring Maya Angelou - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/coronavirus-and-karma,DROP,Coronavirus and Karma,Other,SOUL THOUGHTS,Exclude; SOUL THOUGHTS,2021,2021-03-20,533,1,1,21,0,Coronavirus and Karma - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/coronavirus-opportunity-or-obstacle,DROP,Coronavirus – Opportunity Or Obstacle,Other,Miracle,Exclude; Miracle,2021,2021-03-24,636,1,1,13,0,Coronavirus – Opportunity Or Obstacle - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/coronavirus-the-heart-of-the-matter,DROP,Coronavirus – The Heart of the Matter,Other,Miracle,Exclude; Miracle,2021,2021-03-24,633,1,1,10,0,Coronavirus – The Heart of the Matter - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/explore-multisensory-perception-and-spiritual-partnership,DROP,Explore Multisensory Perception and Spiritual Partnership,Other,Interviews,Exclude; Interviews,2021,2021-05-11,2009,1,0,7,0,Explore Multisensory Perception and Spiritual Partnership - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/gary-zukav-and-linda-francis-share-their-insight,DROP,Gary Zukav and Linda Francis Share Their Insight,Other,Interviews,Exclude; Interviews,2021,2021-05-11,3837,1,1,7,0,Gary Zukav and Linda Francis Share Their Insight - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/im-thankful-network-seattle,DROP,I’m Thankful Network – Seattle,Other,Podcast,Exclude; Podcast,2021,2021-05-11,104,0,0,9,0,I’m Thankful Network – Seattle - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/keep-your-eye-on-the-ball,DROP,Keep Your Eye on the Ball,Other,SOUL THOUGHTS,Exclude; SOUL THOUGHTS,2021,2021-03-20,529,1,1,18,0,Keep Your Eye on the Ball - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/love-in-or-lock-down,DROP,Love In or Lock Down,Other,SOUL THOUGHTS,Exclude; SOUL THOUGHTS,2021,2021-03-20,466,1,1,16,0,Love In or Lock Down - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
https://seatofthesoul.com/moments-with-marianne-internet,DROP,Moments with Marianne – Internet,Other,Podcast,Exclude; Podcast,2021,2021-07-09,119,0,0,8,0,Moments with Marianne - Internet - The Seat of the Soul Institute,,,,,,WordPress 'Exclude' category set by the SOTSI team — pre-tagged to skip migration
